,time_steps,gpu_cubature_std_seq_time,gpu_cubature_std_par_time,gpu_cubature_sqrt_seq_time,gpu_cubature_sqrt_par_time,gpu_extended_std_seq_time,gpu_extended_std_par_time,gpu_extended_sqrt_seq_time,gpu_extended_sqrt_par_time
0,10.0,0.018295764923095703,0.010674715042114258,0.20454931259155273,0.0575261116027832,0.013792991638183594,0.015573740005493164,0.06170964241027832,0.036093950271606445
1,19.0,0.03559994697570801,0.013910531997680664,0.40839481353759766,0.06588482856750488,0.05053305625915527,0.022797584533691406,0.2073209285736084,0.06261014938354492
2,39.0,0.07756948471069336,0.017153501510620117,0.8604001998901367,0.09284400939941406,0.11171174049377441,0.02752399444580078,0.457686185836792,0.0849161148071289
3,79.0,0.16688227653503418,0.021240234375,1.914161205291748,0.08265995979309082,0.12706542015075684,0.03408646583557129,1.0302982330322266,0.13938546180725098
4,158.0,0.36503052711486816,0.025146007537841797,4.115703344345093,0.1182706356048584,0.2822742462158203,0.04068136215209961,2.2525744438171387,0.1127634048461914
5,315.0,0.789804220199585,0.029034137725830078,8.944521188735962,0.13142728805541992,0.5914938449859619,0.045861244201660156,2.8740837574005127,0.15573740005493164
6,629.0,1.6771490573883057,0.035386085510253906,19.313701391220093,0.1681985855102539,1.3077144622802734,0.03426814079284668,6.202661037445068,0.21800947189331055
7,1256.0,3.554837703704834,0.04004931449890137,62.81098651885986,0.14501619338989258,2.7453911304473877,0.03957986831665039,13.12222671508789,0.22150826454162598
8,2506.0,7.78226375579834,0.04892277717590332,103.1718008518219,0.2092578411102295,6.095062494277954,0.07390379905700684,28.508450031280518,0.22922825813293457
9,4999.0,17.309333562850952,0.06379175186157227,217.02878332138062,0.21590542793273926,12.85152816772461,0.07515096664428711,62.63644599914551,0.2866988182067871
